New York Mets	323099999
Los Angeles Dodgers	321287291
New York Yankees	293488972
Philadelphia Phillies	284210820
Toronto Blue Jays	239642532
Texas Rangers	220541332
Houston Astros	220217813
Atlanta Braves	214836398
San Diego Padres	208909333
Chicago Cubs	196288250
Arizona Diamondbacks	195294235
Boston Red Sox	193629093
Los Angeles Angels	190508096
San Francisco Giants	173019524
Baltimore Orioles	162314278
Seattle Mariners	146793414
Detroit Tigers	143193033
Minnesota Twins	142762022
St. Louis Cardinals	141455581
Kansas City Royals	130001503
Colorado Rockies	120693976
Cincinnati Reds	115466833
Milwaukee Brewers	115136227
Washington Nationals	107653761
Cleveland Guardians	100522729
Pittsburgh Pirates	87645246
Chicago White Sox	82279825
Tampa Bay Rays	79216312
Athletics	73118981
Miami Marlins	67412619
